# Raw data from Gardner, et al., Cell, 147, 1092, 2011.
#
# Each entry in the respective columns is the time, in seconds, 
# between the start of growth of a microtubule and catastrophe.
#
# The concentrations of tubulin are given at the head
# of each column.
#
# Kindly provided by Melissa Gardner, University of Minnesota
12 uM,7 uM,9 uM,10 uM,14 uM
25,35,25,50,60
40,45,40,60,75
40,50,40,60,75
45.429,50,45,75,85
50,55,50,75,115
55,55,50,85,115
56.386,55,55,90,135
60,55,55,90,140
60,55,60,100,145
60,60,65,105,150
60,60,70,105,155
64.075,60,70,105,165
65,60,70,110,180
65,65,85,110,190
65,65,85,115,210
65,70,90,115,210
70,70,90,130,215
71.764,70,95,130,220
75,70,95,135,225
75,70,95,135,235
78.903,75,100,135,235
80,75,100,145,240
80,75,100,145,240
80,75,100,145,245
85,80,100,145,260
85,80,105,145,260
85,80,105,150,265
85,80,105,150,265
85,80,105,155,265
90,80,105,155,275
90,85,110,155,275
90,85,110,160,275
92.268,85,110,160,280
94.831,85,110,165,280
95,85,115,165,280
95,85,115,165,280
100,90,120,165,290
105,90,125,170,295
105,90,130,170,295
105,90,130,170,300
110,95,135,170,310
110,95,135,170,310
112.772,95,135,175,315
115,95,135,175,320
115,95,135,175,325
115,95,135,180,325
115,95,140,180,325
117.159,95,140,180,325
117.159,100,145,180,325
117.898,100,145,185,330
120,100,145,185,330
120,100,145,190,335
125,105,145,190,345
125,105,150,195,345
125,105,150,200,345
125,105,150,200,355
125,105,150,200,355
125.587,105,155,200,365
130,105,155,205,365
130,105,160,205,365
130,105,160,205,370
130,105,165,210,370
130,110,165,210,385
130,110,170,210,385
130,110,170,215,395
130,110,170,215,405
130,110,175,225,410
131.505,110,175,225,415
133.276,110,175,225,425
135,110,180,230,430
135,110,180,230,435
135,115,180,235,435
135,115,180,235,435
135,115,180,240,435
138.402,115,180,240,440
140,115,185,240,445
140,115,185,240,445
140,115,185,245,450
140,115,185,245,450
140.965,115,185,245,450
143.528,115,185,250,455
145,115,185,250,460
145,120,185,250,460
145,120,185,255,465
145,120,190,255,465
145.851,120,190,255,470
150,120,190,260,470
150.633,120,190,260,470
153.78,120,190,265,480
155,120,190,265,490
155,125,195,265,500
155.415,125,195,265,505
160,125,195,270,505
160,125,200,270,515
160,125,200,270,525
160,125,200,275,525
160,125,205,275,545
160,130,205,280,545
164.979,130,205,285,555
164.979,130,205,285,560
165,130,210,285,570
165,130,210,290,570
165,130,215,290,585
165,130,215,290,590
165,130,220,290,590
165,135,225,295,615
